,username,talking_about_count,time
50628,burgerking,184379,2015-04-30 04:00:00+00
50946,burgerking,184379,2015-05-01 04:00:00+00
51489,burgerking,180880,2015-05-02 04:00:00+00
51976,burgerking,198273,2015-05-03 04:00:00+00
52325,burgerking,236476,2015-05-04 04:00:00+00
52990,burgerking,266970,2015-05-05 04:00:00+00
53682,burgerking,297881,2015-05-06 04:00:00+00
53908,burgerking,309969,2015-05-07 04:00:00+00
54225,burgerking,319040,2015-05-08 04:00:00+00
54963,burgerking,304721,2015-05-09 04:00:00+00
55307,burgerking,284660,2015-05-10 04:00:00+00
55969,burgerking,219509,2015-05-12 04:00:00+00
56650,burgerking,219509,2015-05-13 04:00:00+00
56902,burgerking,189149,2015-05-14 04:00:00+00
57379,burgerking,175201,2015-05-15 04:00:00+00
57975,burgerking,236365,2015-05-16 04:00:00+00
58269,burgerking,300453,2015-05-17 04:00:00+00
58677,burgerking,339572,2015-05-18 04:00:00+00
59299,burgerking,369989,2015-05-19 04:00:00+00
59981,burgerking,397157,2015-05-20 04:00:00+00
60189,burgerking,428961,2015-05-21 04:00:00+00
60792,burgerking,428961,2015-05-22 04:00:00+00
61325,burgerking,364948,2015-05-23 04:00:00+00
61678,burgerking,304012,2015-05-24 04:00:00+00
61968,burgerking,257588,2015-05-25 04:00:00+00
62426,burgerking,223108,2015-05-26 04:00:00+00
63092,burgerking,187023,2015-05-27 04:00:00+00
63681,burgerking,157400,2015-05-28 04:00:00+00
69909,burgerking,193031,2015-06-10 04:00:00+00
74637,burgerking,112188,2015-07-01 04:00:00+00
75310,burgerking,112188,2015-07-02 04:00:00+00
76638,burgerking,117195,2015-07-03 04:00:00+00
77341,burgerking,125799,2015-07-04 04:00:00+00
78221,burgerking,155295,2015-07-05 04:00:00+00
79248,burgerking,176989,2015-07-06 04:00:00+00
80342,burgerking,197857,2015-07-07 04:00:00+00
80745,burgerking,235063,2015-07-08 04:00:00+00
81473,burgerking,270336,2015-07-09 04:00:00+00
82767,burgerking,296611,2015-07-10 04:00:00+00
83766,burgerking,311994,2015-07-11 04:00:00+00
84481,burgerking,310070,2015-07-12 04:00:00+00
84934,burgerking,310070,2015-07-13 04:00:00+00
86053,burgerking,307128,2015-07-14 04:00:00+00
86990,burgerking,283724,2015-07-15 04:00:00+00
87398,Dominos,26632,2015-07-16 04:00:00+00
87550,burgerking,262797,2015-07-16 04:00:00+00
88059,chipotle,29956,2015-07-16 04:00:00+00
89010,Dominos,25642,2015-07-17 04:00:00+00
89048,burgerking,242142,2015-07-17 04:00:00+00
89196,chipotle,28612,2015-07-17 04:00:00+00
89333,Dominos,24583,2015-07-18 04:00:00+00
89638,chipotle,26477,2015-07-18 04:00:00+00
90147,burgerking,219583,2015-07-18 04:00:00+00
90342,Dominos,23670,2015-07-19 04:00:00+00
90549,burgerking,198764,2015-07-19 04:00:00+00
90954,chipotle,25983,2015-07-19 04:00:00+00
91601,Dominos,23687,2015-07-20 04:00:00+00
91671,burgerking,185162,2015-07-20 04:00:00+00
91985,chipotle,24680,2015-07-20 04:00:00+00
92427,burgerking,175050,2015-07-21 04:00:00+00
92565,Dominos,23531,2015-07-21 04:00:00+00
92935,chipotle,24263,2015-07-21 04:00:00+00
93259,burgerking,140519,2015-07-23 04:00:00+00
93795,chipotle,20670,2015-07-23 04:00:00+00
94124,Dominos,23191,2015-07-23 04:00:00+00
94185,chipotle,27928,2015-07-24 04:00:00+00
94441,Dominos,24124,2015-07-24 04:00:00+00
94732,burgerking,122232,2015-07-24 04:00:00+00
